0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:51 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:51 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:51 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:51 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:51 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:52 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:52 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:52 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:52 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:55:20 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4869
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:55:20 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:55:37 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4825
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:55:37 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:07 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:56:07 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
